
# Surface 0 of 1 surfaces

# Curve title: ""Contour_contourtmp0.dat""

# Contour 0, label: 1.05e+03
# Contour 8, label:      650
-1 -0.769439  650 
-0.916667 -0.77253  650 
-0.833334 -0.775804  650 
-0.750001 -0.779277  650 
-0.666668 -0.782967  650 
-0.583335 -0.786896  650 
-0.500002 -0.791088  650 
-0.416668 -0.79557  650 
-0.333335 -0.800372  650 
-0.250002 -0.805532  650 
-0.166669 -0.81109  650 
-0.083336 -0.817094  650 
-2.911e-06 -0.823601  650 
 0.0833302 -0.830675  650 
 0.112876 -0.833334  650 
 0.166663 -0.838395  650 
 0.249996 -0.846853  650 
 0.333329 -0.856161  650 
 0.416663 -0.866454  650 
 0.499996 -0.877895  650 
 0.583329 -0.89069  650 
 0.666662 -0.905092  650 
 0.726815 -0.916667  650 
 0.749995 -0.921426  650 
 0.833328 -0.940109  650 
 0.916661 -0.961685  650 
 0.999994 -0.986884  650 


# Contour 9, label:      600
-1 -0.986949  600 
-0.916667 -0.996271  600 
-0.884616 -1  600 

